PERMNO,date,TICKER,COMNAM,PRC,VOL,RET
14593,20110831,AAPL,APPLE INC,384.82999,5981498,-0.014469
14593,20110930,AAPL,APPLE INC,381.32001,4428460,-0.009121
14593,20111031,AAPL,APPLE INC,404.78,4844030,0.061523
14593,20111130,AAPL,APPLE INC,382.20001,3300869,-0.055783
14593,20111230,AAPL,APPLE INC,405,2327054,0.059655
14593,20120131,AAPL,APPLE INC,456.48001,2529489,0.127111
14593,20120229,AAPL,APPLE INC,542.44,4208016,0.188311
14593,20120330,AAPL,APPLE INC,599.54999,5751713,0.105284
14593,20120430,AAPL,APPLE INC,583.97998,5815315,-0.025969
14593,20120531,AAPL,APPLE INC,577.72998,4145678,-0.010702
14593,20120629,AAPL,APPLE INC,584,2927706,0.010853
14593,20120731,AAPL,APPLE INC,610.76001,3336045,0.045822
14593,20120831,AAPL,APPLE INC,665.23999,3104998,0.093539
14593,20120928,AAPL,APPLE INC,667.10498,3438905,0.002803
14593,20121031,AAPL,APPLE INC,595.32001,4539999,-0.107607
14593,20121130,AAPL,APPLE INC,585.28003,4629601,-0.012413
14593,20121231,AAPL,APPLE INC,532.17291,4472556,-0.090738
14593,20130131,AAPL,APPLE INC,455.48999,4864029,-0.144094
14593,20130228,AAPL,APPLE INC,441.39999,3474204,-0.025116
14593,20130328,AAPL,APPLE INC,442.66,3418252,0.002855
14593,20130430,AAPL,APPLE INC,442.78,4103155,0.000271
14593,20130531,AAPL,APPLE INC,449.73499,3507527,0.022596
14593,20130628,AAPL,APPLE INC,396.53,2611351,-0.118303
14593,20130731,AAPL,APPLE INC,452.53,2431461,0.141225
14593,20130830,AAPL,APPLE INC,487.216,2997612,0.083389
14593,20130930,AAPL,APPLE INC,476.75,3214144,-0.021481
14593,20131031,AAPL,APPLE INC,522.70203,2948696,0.096386
14593,20131129,AAPL,APPLE INC,556.07001,1952387,0.069673
14593,20131231,AAPL,APPLE INC,561.02002,2547642,0.008902
14593,20140131,AAPL,APPLE INC,500.60001,3188098,-0.107697
14593,20140228,AAPL,APPLE INC,526.23999,2111318,0.057311
14593,20140331,AAPL,APPLE INC,536.73999,1794860,0.019953
14593,20140430,AAPL,APPLE INC,590.09003,2299269,0.099396
14593,20140530,AAPL,APPLE INC,633,2051679,0.078293
14593,20140630,AAPL,APPLE INC,92.93,8535462,0.027662
14593,20140731,AAPL,APPLE INC,95.6,10375564,0.028731
14593,20140829,AAPL,APPLE INC,102.5,9380685,0.077092
14593,20140930,AAPL,APPLE INC,100.75,15283673,-0.017073
14593,20141031,AAPL,APPLE INC,108,13609713,0.07196
14593,20141128,AAPL,APPLE INC,118.93,8213451,0.105556
14593,20141231,AAPL,APPLE INC,110.38,10766123,-0.071891
14593,20150130,AAPL,APPLE INC,117.16,13062738,0.061424
14593,20150227,AAPL,APPLE INC,128.46001,11373392,0.100461
14593,20150331,AAPL,APPLE INC,124.43,11389236,-0.031372
14593,20150430,AAPL,APPLE INC,125.15,9962108,0.005786
14593,20150529,AAPL,APPLE INC,130.28,9552599,0.045146
14593,20150630,AAPL,APPLE INC,125.425,8789027,-0.037266
14593,20150731,AAPL,APPLE INC,121.3,10600330,-0.032888
14593,20150831,AAPL,APPLE INC,112.76,16079713,-0.066117
14593,20150930,AAPL,APPLE INC,110.3,12091001,-0.021816
14593,20151030,AAPL,APPLE INC,119.5,11147142,0.083409
14593,20151130,AAPL,APPLE INC,118.3,7517860,-0.00569
14593,20151231,AAPL,APPLE INC,105.26,9237703,-0.110228
19350,20070131,DE,DEERE & CO,100.28,431262,0.054802
19350,20070228,DE,DEERE & CO,108.29,494063,0.079876
19350,20070330,DE,DEERE & CO,108.64,617161,0.007295
19350,20070430,DE,DEERE & CO,109.4,459273,0.006996
19350,20070531,DE,DEERE & CO,120.47,722774,0.101188
19350,20070629,DE,DEERE & CO,120.74,521748,0.005894
19350,20070731,DE,DEERE & CO,120.42,488970,-0.00265
19350,20070831,DE,DEERE & CO,136.06,731436,0.129879
19350,20070928,DE,DEERE & CO,148.42,492047,0.094517
19350,20071031,DE,DEERE & CO,154.89999,521804,0.04366
19350,20071130,DE,DEERE & CO,171.8,651982,0.109103
19350,20071231,DE,DEERE & CO,93.12,807272,0.086962
19350,20080131,DE,DEERE & CO,87.56,1432280,-0.059708
